pair_id,pair_label,variant,family,attack_family,prompt_count,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,detection_rate,localization_acc,dominant_mismatch_checkpoint,runtime_ms_per_trace
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,200,16,64,1.0,1.0,C2,2.544226
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,stale_replay,200,16,64,0.76,0.76,C2,2.544226
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_prompt,200,16,64,0.76,0.76,C2,2.544226
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,gaussian,200,64,256,1.0,1.0,C2,2.377833
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,stale_replay,200,64,256,0.855,0.855,C2,2.377833
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,wrong_prompt,200,64,256,0.855,0.855,C2,2.377833
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,gaussian,200,64,256,1.0,1.0,C2,2.631514
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,stale_replay,200,64,256,1.0,1.0,C2,2.631514
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,wrong_prompt,200,64,256,1.0,1.0,C2,2.631514
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,gaussian,200,128,512,1.0,1.0,C2,2.697622
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,stale_replay,200,128,512,1.0,1.0,C2,2.697622
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,wrong_prompt,200,128,512,1.0,1.0,C2,2.697622
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,gaussian,200,256,1024,1.0,1.0,C2,2.924021
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,stale_replay,200,256,1024,1.0,1.0,C2,2.924021
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,wrong_prompt,200,256,1024,1.0,1.0,C2,2.924021
